2019-02-20 09:27:55.973 DEBUG 8252 --- [http-nio-8443-exec-4] o.s.s.w.u.matcher.AntPathRequestMatcher  : Request 'GET /api/administration/generate-doc-nr' doesn't match 'OPTIONS /**
2019-02-20 09:27:56.051 DEBUG 8252 --- [http-nio-8443-exec-5] o.s.s.w.u.matcher.AntPathRequestMatcher  : Request 'GET /api/tasks/request-step-by-code-and-step' doesn't match 'DELETE /logout
2019-02-20 09:27:56.051 DEBUG 8252 --- [http-nio-8443-exec-1] o.s.s.w.u.matcher.AntPathRequestMatcher  : Request 'GET /api/tasks/request-step-by-id-and-code' doesn't match 'POST /logout
2019-02-20 09:27:56.052 DEBUG 8252 --- [http-nio-8443-exec-5] o.s.s.web.util.matcher.OrRequestMatcher  : No matches found
2019-02-20 09:27:56.052 DEBUG 8252 --- [http-nio-8443-exec-1] o.s.s.web.util.matcher.OrRequestMatcher  : Trying to match using Ant [pattern='/logout', PUT]
2019-02-20 09:27:56.052 DEBUG 8252 --- [http-nio-8443-exec-1] o.s.s.w.u.matcher.AntPathRequestMatcher  : Request 'GET /api/tasks/request-step-by-id-and-code' doesn't match 'PUT /logout
2019-02-20 09:27:56.052 DEBUG 8252 --- [http-nio-8443-exec-1] o.s.s.web.util.matcher.OrRequestMatcher  : Trying to match using Ant [pattern='/logout', DELETE]
2019-02-20 09:27:56.051 DEBUG 8252 --- [http-nio-8443-exec-4] o.s.s.web.util.matcher.OrRequestMatcher  : Trying to match using Ant [pattern='/logout', POST]
2019-02-20 09:27:56.052 DEBUG 8252 --- [http-nio-8443-exec-5] o.s.security.web.FilterChainProxy        : /api/tasks/request-step-by-code-and-step?code=ATIE&step=R at position 5 of 11 in additional filter chain; firing Filter: 'JWTFilter'
2019-02-20 09:27:56.052 DEBUG 8252 --- [http-nio-8443-exec-1] o.s.s.w.u.matcher.AntPathRequestMatcher  : Request 'GET /api/tasks/request-step-by-id-and-code' doesn't match 'DELETE /logout
2019-02-20 09:27:56.052 DEBUG 8252 --- [http-nio-8443-exec-4] o.s.s.w.u.matcher.AntPathRequestMatcher  : Request 'GET /api/administration/generate-doc-nr' doesn't match 'POST /logout
2019-02-20 09:27:56.053 DEBUG 8252 --- [http-nio-8443-exec-1] o.s.s.web.util.matcher.OrRequestMatcher  : No matches found
2019-02-20 09:27:56.053 DEBUG 8252 --- [http-nio-8443-exec-4] o.s.s.web.util.matcher.OrRequestMatcher  : Trying to match using Ant [pattern='/logout', PUT]
2019-02-20 09:27:56.053 DEBUG 8252 --- [http-nio-8443-exec-1] o.s.security.web.FilterChainProxy        : /api/tasks/request-step-by-id-and-code?id=3&code=R at position 5 of 11 in additional filter chain; firing Filter: 'JWTFilter'
2019-02-20 09:27:56.053 DEBUG 8252 --- [http-nio-8443-exec-4] o.s.s.w.u.matcher.AntPathRequestMatcher  : Request 'GET /api/administration/generate-doc-nr' doesn't match 'PUT /logout
2019-02-20 09:27:56.053 DEBUG 8252 --- [http-nio-8443-exec-4] o.s.s.web.util.matcher.OrRequestMatcher  : Trying to match using Ant [pattern='/logout', DELETE]
2019-02-20 09:27:56.056 DEBUG 8252 --- [http-nio-8443-exec-4] o.s.s.w.u.matcher.AntPathRequestMatcher  : Request 'GET /api/administration/generate-doc-nr' doesn't match 'DELETE /logout
2019-02-20 09:27:56.056 DEBUG 8252 --- [http-nio-8443-exec-4] o.s.s.web.util.matcher.OrRequestMatcher  : No matches found
2019-02-20 09:27:56.056 DEBUG 8252 --- [http-nio-8443-exec-4] o.s.security.web.FilterChainProxy        : /api/administration/generate-doc-nr at position 5 of 11 in additional filter chain; firing Filter: 'JWTFilter'
2019-02-20 09:27:56.058 DEBUG 8252 --- [http-nio-8443-exec-4] o.s.security.web.FilterChainProxy        : /api/administration/generate-doc-nr at position 6 of 11 in additional filter chain; firing Filter: 'RequestCacheAwareFilter'
2019-02-20 09:27:56.058 DEBUG 8252 --- [http-nio-8443-exec-1] o.s.security.web.FilterChainProxy        : /api/tasks/request-step-by-id-and-code?id=3&code=R at position 6 of 11 in additional filter chain; firing Filter: 'RequestCacheAwareFilter'
2019-02-20 09:27:56.058 DEBUG 8252 --- [http-nio-8443-exec-5] o.s.security.web.FilterChainProxy        : /api/tasks/request-step-by-code-and-step?code=ATIE&step=R at position 6 of 11 in additional filter chain; firing Filter: 'RequestCacheAwareFilter'
2019-02-20 09:27:56.059 DEBUG 8252 --- [http-nio-8443-exec-5] o.s.security.web.FilterChainProxy        : /api/tasks/request-step-by-code-and-step?code=ATIE&step=R at position 7 of 11 in additional filter chain; firing Filter: 'SecurityContextHolderAwareRequestFilter'
2019-02-20 09:27:56.059 DEBUG 8252 --- [http-nio-8443-exec-4] o.s.security.web.FilterChainProxy        : /api/administration/generate-doc-nr at position 7 of 11 in additional filter chain; firing Filter: 'SecurityContextHolderAwareRequestFilter'
2019-02-20 09:27:56.062 DEBUG 8252 --- [http-nio-8443-exec-1] o.s.security.web.FilterChainProxy        : /api/tasks/request-step-by-id-and-code?id=3&code=R at position 7 of 11 in additional filter chain; firing Filter: 'SecurityContextHolderAwareRequestFilter'
2019-02-20 09:27:56.063 DEBUG 8252 --- [http-nio-8443-exec-5] o.s.security.web.FilterChainProxy        : /api/tasks/request-step-by-code-and-step?code=ATIE&step=R at position 8 of 11 in additional filter chain; firing Filter: 'AnonymousAuthenticationFilter'
2019-02-20 09:27:56.063 DEBUG 8252 --- [http-nio-8443-exec-1] o.s.security.web.FilterChainProxy        : /api/tasks/request-step-by-id-and-code?id=3&code=R at position 8 of 11 in additional filter chain; firing Filter: 'AnonymousAuthenticationFilter'
2019-02-20 09:27:56.063 DEBUG 8252 --- [http-nio-8443-exec-4] o.s.security.web.FilterChainProxy        : /api/administration/generate-doc-nr at position 8 of 11 in additional filter chain; firing Filter: 'AnonymousAuthenticationFilter'
2019-02-20 09:27:56.076 DEBUG 8252 --- [http-nio-8443-exec-1] o.s.s.w.a.AnonymousAuthenticationFilter  : Populated SecurityContextHolder with anonymous token: 'org.springframework.security.authentication.AnonymousAuthenticationToken@eaf7a233: Principal: anonymousUser; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@b364: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: null; Granted Authorities: ROLE_ANONYMOUS'
2019-02-20 09:27:56.076 DEBUG 8252 --- [http-nio-8443-exec-5] o.s.s.w.a.AnonymousAuthenticationFilter  : Populated SecurityContextHolder with anonymous token: 'org.springframework.security.authentication.AnonymousAuthenticationToken@eaf7a233: Principal: anonymousUser; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@b364: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: null; Granted Authorities: ROLE_ANONYMOUS'
2019-02-20 09:27:56.076 DEBUG 8252 --- [http-nio-8443-exec-4] o.s.s.w.a.AnonymousAuthenticationFilter  : Populated SecurityContextHolder with anonymous token: 'org.springframework.security.authentication.AnonymousAuthenticationToken@eaf7a233: Principal: anonymousUser; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@b364: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: null; Granted Authorities: ROLE_ANONYMOUS'
2019-02-20 09:27:56.077 DEBUG 8252 --- [http-nio-8443-exec-5] o.s.security.web.FilterChainProxy        : /api/tasks/request-step-by-code-and-step?code=ATIE&step=R at position 9 of 11 in additional filter chain; firing Filter: 'SessionManagementFilter'
2019-02-20 09:27:56.077 DEBUG 8252 --- [http-nio-8443-exec-4] o.s.security.web.FilterChainProxy        : /api/administration/generate-doc-nr at position 9 of 11 in additional filter chain; firing Filter: 'SessionManagementFilter'
2019-02-20 09:27:56.078 DEBUG 8252 --- [http-nio-8443-exec-5] o.s.security.web.FilterChainProxy        : /api/tasks/request-step-by-code-and-step?code=ATIE&step=R at position 10 of 11 in additional filter chain; firing Filter: 'ExceptionTranslationFilter'
2019-02-20 09:27:56.078 DEBUG 8252 --- [http-nio-8443-exec-4] o.s.security.web.FilterChainProxy        : /api/administration/generate-doc-nr at position 10 of 11 in additional filter chain; firing Filter: 'ExceptionTranslationFilter'
2019-02-20 09:27:56.077 DEBUG 8252 --- [http-nio-8443-exec-1] o.s.security.web.FilterChainProxy        : /api/tasks/request-step-by-id-and-code?id=3&code=R at position 9 of 11 in additional filter chain; firing Filter: 'SessionManagementFilter'
2019-02-20 09:27:56.080 DEBUG 8252 --- [http-nio-8443-exec-4] o.s.security.web.FilterChainProxy        : /api/administration/generate-doc-nr at position 11 of 11 in additional filter chain; firing Filter: 'FilterSecurityInterceptor'
2019-02-20 09:27:56.080 DEBUG 8252 --- [http-nio-8443-exec-1] o.s.security.web.FilterChainProxy        : /api/tasks/request-step-by-id-and-code?id=3&code=R at position 10 of 11 in additional filter chain; firing Filter: 'ExceptionTranslationFilter'
2019-02-20 09:27:56.080 DEBUG 8252 --- [http-nio-8443-exec-5] o.s.security.web.FilterChainProxy        : /api/tasks/request-step-by-code-and-step?code=ATIE&step=R at position 11 of 11 in additional filter chain; firing Filter: 'FilterSecurityInterceptor'
2019-02-20 09:27:56.081 DEBUG 8252 --- [http-nio-8443-exec-1] o.s.security.web.FilterChainProxy        : /api/tasks/request-step-by-id-and-code?id=3&code=R at position 11 of 11 in additional filter chain; firing Filter: 'FilterSecurityInterceptor'
2019-02-20 09:27:56.088 DEBUG 8252 --- [http-nio-8443-exec-1] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/api/tasks/request-step-by-id-and-code'; against '/'
2019-02-20 09:27:56.088 DEBUG 8252 --- [http-nio-8443-exec-4] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/api/administration/generate-doc-nr'; against '/'
2019-02-20 09:27:56.088 DEBUG 8252 --- [http-nio-8443-exec-5] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/api/tasks/request-step-by-code-and-step'; against '/'
2019-02-20 09:27:56.088 DEBUG 8252 --- [http-nio-8443-exec-4] o.s.s.w.u.matcher.AntPathRequestMatcher  : Request 'GET /api/administration/generate-doc-nr' doesn't match 'OPTIONS /**
2019-02-20 09:27:56.088 DEBUG 8252 --- [http-nio-8443-exec-5] o.s.s.w.u.matcher.AntPathRequestMatcher  : Request 'GET /api/tasks/request-step-by-code-and-step' doesn't match 'OPTIONS /**
2019-02-20 09:27:56.088 DEBUG 8252 --- [http-nio-8443-exec-4] o.s.s.w.u.matcher.AntPathRequestMatcher  : Request 'GET /api/administration/generate-doc-nr' doesn't match 'POST /api/authenticate
2019-02-20 09:27:56.088 DEBUG 8252 --- [http-nio-8443-exec-5] o.s.s.w.u.matcher.AntPathRequestMatcher  : Request 'GET /api/tasks/request-step-by-code-and-step' doesn't match 'POST /api/authenticate
2019-02-20 09:27:56.088 DEBUG 8252 --- [http-nio-8443-exec-1] o.s.s.w.u.matcher.AntPathRequestMatcher  : Request 'GET /api/tasks/request-step-by-id-and-code' doesn't match 'OPTIONS /**
2019-02-20 09:27:56.089 DEBUG 8252 --- [http-nio-8443-exec-4] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/api/administration/generate-doc-nr'; against '/api/reset-password'
2019-02-20 09:27:56.089 DEBUG 8252 --- [http-nio-8443-exec-5] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/api/tasks/request-step-by-code-and-step'; against '/api/reset-password'
2019-02-20 09:27:56.089 DEBUG 8252 --- [http-nio-8443-exec-5] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/api/tasks/request-step-by-code-and-step'; against '/api/**'
2019-02-20 09:27:56.089 DEBUG 8252 --- [http-nio-8443-exec-4] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/api/administration/generate-doc-nr'; against '/api/**'
2019-02-20 09:27:56.089 DEBUG 8252 --- [http-nio-8443-exec-1] o.s.s.w.u.matcher.AntPathRequestMatcher  : Request 'GET /api/tasks/request-step-by-id-and-code' doesn't match 'POST /api/authenticate
2019-02-20 09:27:56.089 DEBUG 8252 --- [http-nio-8443-exec-1] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/api/tasks/request-step-by-id-and-code'; against '/api/reset-password'
2019-02-20 09:27:56.089 DEBUG 8252 --- [http-nio-8443-exec-1] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/api/tasks/request-step-by-id-and-code'; against '/api/**'
2019-02-20 09:27:56.092 DEBUG 8252 --- [http-nio-8443-exec-4] o.s.s.w.a.i.FilterSecurityInterceptor    : Secure object: FilterInvocation: URL: /api/administration/generate-doc-nr; Attributes: [permitAll]
2019-02-20 09:27:56.092 DEBUG 8252 --- [http-nio-8443-exec-1] o.s.s.w.a.i.FilterSecurityInterceptor    : Secure object: FilterInvocation: URL: /api/tasks/request-step-by-id-and-code?id=3&code=R; Attributes: [permitAll]
2019-02-20 09:27:56.092 DEBUG 8252 --- [http-nio-8443-exec-5] o.s.s.w.a.i.FilterSecurityInterceptor    : Secure object: FilterInvocation: URL: /api/tasks/request-step-by-code-and-step?code=ATIE&step=R; Attributes: [permitAll]
2019-02-20 09:27:56.092 DEBUG 8252 --- [http-nio-8443-exec-1] o.s.s.w.a.i.FilterSecurityInterceptor    : Previously Authenticated: org.springframework.security.authentication.AnonymousAuthenticationToken@eaf7a233: Principal: anonymousUser; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@b364: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: null; Granted Authorities: ROLE_ANONYMOUS
2019-02-20 09:27:56.092 DEBUG 8252 --- [http-nio-8443-exec-5] o.s.s.w.a.i.FilterSecurityInterceptor    : Previously Authenticated: org.springframework.security.authentication.AnonymousAuthenticationToken@eaf7a233: Principal: anonymousUser; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@b364: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: null; Granted Authorities: ROLE_ANONYMOUS
2019-02-20 09:27:56.092 DEBUG 8252 --- [http-nio-8443-exec-4] o.s.s.w.a.i.FilterSecurityInterceptor    : Previously Authenticated: org.springframework.security.authentication.AnonymousAuthenticationToken@eaf7a233: Principal: anonymousUser; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@b364: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: null; Granted Authorities: ROLE_ANONYMOUS
2019-02-20 09:27:56.128 DEBUG 8252 --- [http-nio-8443-exec-1] o.s.s.access.vote.AffirmativeBased       : Voter: org.springframework.security.web.access.expression.WebExpressionVoter@3922b512, returned: 1
2019-02-20 09:27:56.128 DEBUG 8252 --- [http-nio-8443-exec-4] o.s.s.access.vote.AffirmativeBased       : Voter: org.springframework.security.web.access.expression.WebExpressionVoter@3922b512, returned: 1
2019-02-20 09:27:56.128 DEBUG 8252 --- [http-nio-8443-exec-5] o.s.s.access.vote.AffirmativeBased       : Voter: org.springframework.security.web.access.expression.WebExpressionVoter@3922b512, returned: 1
2019-02-20 09:27:56.128 DEBUG 8252 --- [http-nio-8443-exec-4] o.s.s.w.a.i.FilterSecurityInterceptor    : Authorization successful
2019-02-20 09:27:56.128 DEBUG 8252 --- [http-nio-8443-exec-1] o.s.s.w.a.i.FilterSecurityInterceptor    : Authorization successful
2019-02-20 09:27:56.128 DEBUG 8252 --- [http-nio-8443-exec-5] o.s.s.w.a.i.FilterSecurityInterceptor    : Authorization successful
2019-02-20 09:27:56.128 DEBUG 8252 --- [http-nio-8443-exec-4] o.s.s.w.a.i.FilterSecurityInterceptor    : RunAsManager did not change Authentication object
2019-02-20 09:27:56.129 DEBUG 8252 --- [http-nio-8443-exec-4] o.s.security.web.FilterChainProxy        : /api/administration/generate-doc-nr reached end of additional filter chain; proceeding with original chain
2019-02-20 09:27:56.129 DEBUG 8252 --- [http-nio-8443-exec-5] o.s.s.w.a.i.FilterSecurityInterceptor    : RunAsManager did not change Authentication object
2019-02-20 09:27:56.129 DEBUG 8252 --- [http-nio-8443-exec-1] o.s.s.w.a.i.FilterSecurityInterceptor    : RunAsManager did not change Authentication object
2019-02-20 09:27:56.129 DEBUG 8252 --- [http-nio-8443-exec-5] o.s.security.web.FilterChainProxy        : /api/tasks/request-step-by-code-and-step?code=ATIE&step=R reached end of additional filter chain; proceeding with original chain
2019-02-20 09:27:56.130 DEBUG 8252 --- [http-nio-8443-exec-1] o.s.security.web.FilterChainProxy        : /api/tasks/request-step-by-id-and-code?id=3&code=R reached end of additional filter chain; proceeding with original chain
2019-02-20 09:27:56.297 DEBUG 8252 --- [http-nio-8443-exec-5] c.b.a.controller.rest.TasksController    : Get process step by code and stepATIER
2019-02-20 09:27:56.319 DEBUG 8252 --- [http-nio-8443-exec-1] c.b.a.controller.rest.TasksController    : Get process step by id and code
2019-02-20 09:27:56.380  WARN 8252 --- [http-nio-8443-exec-4] com.zaxxer.hikari.pool.PoolBase          : HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@2bd36008 (No operations allowed after connection closed.)
2019-02-20 09:27:56.397  WARN 8252 --- [http-nio-8443-exec-4] com.zaxxer.hikari.pool.PoolBase          : HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@7c827e22 (No operations allowed after connection closed.)
2019-02-20 09:27:56.404  WARN 8252 --- [http-nio-8443-exec-4] com.zaxxer.hikari.pool.PoolBase          : HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@eb099d6 (No operations allowed after connection closed.)
2019-02-20 09:27:56.412  WARN 8252 --- [http-nio-8443-exec-4] com.zaxxer.hikari.pool.PoolBase          : HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@3ed37b28 (No operations allowed after connection closed.)
2019-02-20 09:27:56.421  WARN 8252 --- [http-nio-8443-exec-4] com.zaxxer.hikari.pool.PoolBase          : HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@20e08d24 (No operations allowed after connection closed.)
2019-02-20 09:27:56.427  WARN 8252 --- [http-nio-8443-exec-4] com.zaxxer.hikari.pool.PoolBase          : HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@4ffc9474 (No operations allowed after connection closed.)
2019-02-20 09:27:56.439 DEBUG 8252 --- [http-nio-8443-exec-5] org.hibernate.SQL                        : select s.* from registration_request_steps s join request_types t on s.request_type_id = t.id and  t.code = ? and s.code = ?
2019-02-20 09:27:56.448  WARN 8252 --- [http-nio-8443-exec-4] com.zaxxer.hikari.pool.PoolBase          : HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@4588ca74 (No operations allowed after connection closed.)
2019-02-20 09:27:56.450  WARN 8252 --- [http-nio-8443-exec-5] com.zaxxer.hikari.pool.PoolBase          : HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@13116fa6 (No operations allowed after connection closed.)
2019-02-20 09:27:56.455  WARN 8252 --- [http-nio-8443-exec-4] com.zaxxer.hikari.pool.PoolBase          : HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@6027f3d6 (No operations allowed after connection closed.)
2019-02-20 09:27:56.567 DEBUG 8252 --- [http-nio-8443-exec-5] o.s.s.w.a.ExceptionTranslationFilter     : Chain processed normally
2019-02-20 09:27:56.568 DEBUG 8252 --- [http-nio-8443-exec-5] s.s.w.c.SecurityContextPersistenceFilter : SecurityContextHolder now cleared, as request processing completed
2019-02-20 09:27:56.630 DEBUG 8252 --- [http-nio-8443-exec-9] o.s.s.w.u.matcher.AntPathRequestMatcher  : Request 'GET /api/administration/all-doc-types' doesn't match 'OPTIONS /**
2019-02-20 09:27:56.630 DEBUG 8252 --- [http-nio-8443-exec-9] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/api/administration/all-doc-types'; against '/app/**/*.{js,html}'
2019-02-20 09:27:56.631 DEBUG 8252 --- [http-nio-8443-exec-9] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/api/administration/all-doc-types'; against '/api/authenticate'
2019-02-20 09:27:56.631 DEBUG 8252 --- [http-nio-8443-exec-9] o.s.security.web.FilterChainProxy        : /api/administration/all-doc-types at position 1 of 11 in additional filter chain; firing Filter: 'WebAsyncManagerIntegrationFilter'
2019-02-20 09:27:56.631 DEBUG 8252 --- [http-nio-8443-exec-9] o.s.security.web.FilterChainProxy        : /api/administration/all-doc-types at position 2 of 11 in additional filter chain; firing Filter: 'SecurityContextPersistenceFilter'
